what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273203600192
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273203600755
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203601087
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203612585
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203612659
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203613887
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273203622744
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1273203625778
opened,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1273203627531
activated,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1273203627605
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273203630450
closed,editor,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.manifestEditor",1273203630450
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273203633435
executed,command,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1273203638213
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203640959
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203742167
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203748725
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203755389
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203758266
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203760669
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203777374
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203784994
started,bundle,org.eclipse.emf.mwe.ui,0.7.2.v200908120417,"org.eclipse.emf.mwe.ui",1273203793966
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273203793992
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1273203795349
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273203822211
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1273203830665
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273203831214
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203832147
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203838200
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273203847648
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1273203851183
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1273203853388
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1273203853393
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1273203853442
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203854825
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273203856627
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1273203859328
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1273203860504
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1273203861768
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1273203861770
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203876111
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1273203876149
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273203878683
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273203879707
error,log,,,"Unable to load the repository http://www.vectrace.com/mercurialeclipse/",1273203887146
