what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653629083
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653629844
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273653630612
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653642369
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273653643224
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653643224
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273653645469
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653650167
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273653656364
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273653675109
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273653678205
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273653691583
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273653692661
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273653696279
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653696655
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653700045
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653700873
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653707498
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1273653710160
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273653713908
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273653716053
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1273653719080
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273653723482
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653723846
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653723911
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273653742274
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653742678
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653747712
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653748522
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653756884
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653760077
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653763781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653765377
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653770350
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653770764
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653777563
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273653793248
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273653798095
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653800716
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653810842
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273653813166
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653813539
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653818554
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653819302
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653837870
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653838314
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653838830
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653839653
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653844376
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653850561
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653855595
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653871505
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653876902
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1273653886350
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273653886743
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273653888192
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273653907847
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273653909195
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273653923998
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273653927912
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273653932727
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653933138
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653935853
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273653935880
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273653938853
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273653946573
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273653946860
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654028716
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273654036073
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273654036551
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273654059769
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273654070945
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654083947
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654184152
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273654191666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654192586
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654193599
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273654196620
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654196995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654200732
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654202228
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654212008
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654214873
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654216868
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654229892
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654546447
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654550280
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654593979
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654600781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654607984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654615046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654654335
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654660394
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654733578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654747335
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654804095
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654829999
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654834172
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654835142
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654838742
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273654842208
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273654847001
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654847362
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654866376
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654884978
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654887109
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273654894993
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273654904088
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273654905114
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273654908559
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654908943
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654925081
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273654929052
